Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.3/ 1.1/ -0.8), (-0.5/ 1.0/ -0.3), (-0.2/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.29237
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.0/ -0.3), (-0.2/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.78045
Sad,(-0.4/ 1.3/ -0.8), (-0.6/ 1.0/ -0.3), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.91749
Sad,(-0.4/ 1.4/ -0.7), (-0.6/ 1.1/ -0.3), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.77784
Sad,(-0.4/ 1.2/ -0.8), (-0.6/ 1.1/ -0.3), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.86219
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.0/ -0.3), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.34043
Sad,(-0.3/ 1.1/ -0.7), (-0.6/ 1.0/ -0.3), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.17926
Sad,(-0.4/ 1.1/ -0.7), (-0.4/ 1.0/ -0.1), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.03959
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.0/ -0.2), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.90291
Sad,(-0.2/ 1.2/ -0.8), (-0.7/ 1.1/ -0.4), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.67959
Sad,(-0.2/ 1.1/ -0.8), (-0.6/ 1.0/ -0.3), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.78495
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.2), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.77661
Sad,(-0.4/ 1.1/ -0.8), (-0.6/ 1.1/ -0.2), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.67138
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.4/ 1.1/ -0.7), (-0.7/ 1.1/ -0.3), (-0.1/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.6434
Sad,(-0.4/ 1.1/ -0.7), (-0.6/ 1.1/ -0.3), (-0.1/ 0.1/ -0.5), (-0.4/ 0.1/ -0.6), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.64558
Sad,(-0.4/ 1.1/ -0.7), (-0.6/ 1.1/ -0.3), (-0.1/ 0.1/ -0.5), (-0.4/ 0.1/ -0.6), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.35868
