Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-2.6/ 1.1/ -2.9), (-2.7/ 1.2/ -2.2), (-2.5/ 0.1/ -2.6), (-2.3/ 0.1/ -2.7), (-2.4/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,213.3673
Sad,(-2.6/ 1.1/ -2.9), (-2.7/ 1.1/ -2.2), (-2.5/ 0.1/ -2.6), (-2.3/ 0.1/ -2.7), (-2.4/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,212.5273
Sad,(-2.5/ 1.1/ -2.9), (-2.7/ 1.1/ -2.2), (-2.5/ 0.1/ -2.6), (-2.3/ 0.1/ -2.7), (-2.4/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,212.7926
Sad,(-2.6/ 1.1/ -2.9), (-2.8/ 1.1/ -2.2), (-2.5/ 0.1/ -2.6), (-2.4/ 0.1/ -2.7), (-2.5/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,217.175
Sad,(-2.7/ 1.1/ -2.9), (-2.8/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,221.4439
Sad,(-2.8/ 1.1/ -3.0), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.7/ 1.5/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,225.3793
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.4/ -2.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,224.0476
Sad,(-2.7/ 1.1/ -3.0), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.4/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.2792
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.4/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.0446
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.4/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.3434
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.4/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.4786
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.4/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.5797
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.4/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.6815
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.4/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.5886
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.4/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.4752
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.3999
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.3009
Sad,(-2.7/ 1.1/ -2.9), (-2.9/ 1.1/ -2.3), (-2.5/ 0.1/ -2.6), (-2.5/ 0.1/ -2.8), (-2.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.1777
