Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.7/ 1.2/ 0.7), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.7931
Disgusted,(0.7/ 1.2/ 0.7), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.77869
Disgusted,(0.7/ 1.1/ 0.7), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.90674
Disgusted,(0.7/ 1.2/ 0.7), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.66749
Disgusted,(0.7/ 1.2/ 0.7), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.55508
Disgusted,(0.7/ 1.2/ 0.7), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.51474
Disgusted,(0.7/ 1.2/ 0.7), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.68236
Disgusted,(0.7/ 1.2/ 0.7), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.45919
Disgusted,(0.7/ 1.2/ 0.6), (0.9/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.71613
Disgusted,(0.7/ 1.2/ 0.6), (1.0/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.9/ 0.1/ 0.6), (0.8/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.78897
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Disgusted,(0.9/ 1.4/ 0.7), (1.2/ 0.9/ 0.7), (0.9/ 0.1/ 0.6), (1.0/ 0.1/ 0.6), (1.0/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.245
Disgusted,(0.9/ 1.4/ 0.7), (1.2/ 0.9/ 0.7), (0.9/ 0.1/ 0.6), (1.0/ 0.1/ 0.6), (1.0/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.61947
Disgusted,(1.0/ 1.2/ 0.7), (1.2/ 0.9/ 0.7), (0.9/ 0.1/ 0.6), (1.0/ 0.1/ 0.6), (1.0/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.24059
Disgusted,(1.0/ 1.1/ 0.8), (1.1/ 1.0/ 0.7), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 0.6), (0.9/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.92749
Disgusted,(1.0/ 1.1/ 0.8), (1.1/ 1.0/ 0.6), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 0.6), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.65741
Disgusted,(1.0/ 1.1/ 0.8), (1.1/ 1.0/ 0.7), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 0.6), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.70341
Disgusted,(1.0/ 1.1/ 0.8), (1.1/ 1.0/ 0.6), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 0.7), (0.9/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.91886
Disgusted,(1.0/ 1.1/ 0.8), (1.1/ 1.0/ 0.6), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 0.7), (0.9/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.4945
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Disgusted,(1.0/ 1.1/ 0.8), (1.1/ 1.0/ 0.6), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 0.7), (0.9/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.59357
Disgusted,(1.0/ 1.1/ 0.8), (1.1/ 1.0/ 0.7), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 0.7), (0.9/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.3021
Disgusted,(1.0/ 1.1/ 0.8), (1.1/ 1.0/ 0.7), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 0.7), (0.9/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.46539
Disgusted,(0.9/ 1.2/ 0.8), (1.1/ 1.0/ 0.6), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 0.7), (0.9/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.76525
Disgusted,(0.9/ 1.2/ 0.7), (1.1/ 1.0/ 0.6), (0.8/ 0.1/ 0.7), (1.0/ 0.1/ 0.7), (0.9/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.02117
Disgusted,(0.8/ 1.2/ 0.6), (1.0/ 1.0/ 0.5), (0.8/ 0.1/ 0.7), (1.0/ 0.1/ 0.5), (0.8/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.41896
Disgusted,(0.8/ 1.2/ 0.7), (1.1/ 1.0/ 0.5), (0.8/ 0.1/ 0.7), (1.0/ 0.1/ 0.5), (0.8/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.59611
Disgusted,(0.9/ 1.2/ 0.7), (1.1/ 1.0/ 0.5), (0.8/ 0.1/ 0.7), (1.0/ 0.1/ 0.5), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.35705
Disgusted,(0.9/ 1.2/ 0.7), (1.1/ 1.0/ 0.5), (0.8/ 0.1/ 0.7), (1.0/ 0.1/ 0.5), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.57507
Happy,(0.9/ 1.2/ 0.7), (1.1/ 1.0/ 0.5), (0.8/ 0.1/ 0.7), (1.0/ 0.1/ 0.5), (0.8/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.79784
