Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(-0.8/ 1.1/ 0.9), (-0.6/ 1.1/ 0.9), (-0.8/ 0.1/ 0.7), (-0.7/ 0.1/ 1.0), (-0.7/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.44105
Disgusted,(-0.7/ 1.1/ 0.9), (-0.6/ 1.1/ 0.9), (-0.8/ 0.1/ 0.7), (-0.7/ 0.1/ 1.0), (-0.6/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.44041
Disgusted,(-0.8/ 1.1/ 0.9), (-0.6/ 1.1/ 0.9), (-0.8/ 0.1/ 0.8), (-0.7/ 0.1/ 1.0), (-0.7/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.25316
Disgusted,(-0.8/ 1.1/ 1.0), (-0.7/ 1.1/ 0.9), (-0.9/ 0.1/ 0.8), (-0.6/ 0.1/ 1.0), (-0.7/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.9379
Disgusted,(-0.7/ 1.1/ 0.9), (-0.6/ 1.1/ 0.8), (-0.9/ 0.1/ 0.8), (-0.6/ 0.1/ 0.8), (-0.6/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.30695

CAMINO 3
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Disgusted,(-0.8/ 1.1/ 0.8), (-0.6/ 1.1/ 0.7), (-0.9/ 0.1/ 0.8), (-0.6/ 0.1/ 0.8), (-0.7/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.50692
Disgusted,(-0.8/ 1.1/ 0.8), (-0.7/ 1.1/ 0.8), (-0.9/ 0.1/ 0.8), (-0.6/ 0.1/ 0.8), (-0.7/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.26656
Disgusted,(-0.8/ 1.1/ 0.8), (-0.6/ 1.1/ 0.8), (-0.8/ 0.1/ 0.7), (-0.6/ 0.1/ 0.8), (-0.7/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.94806
