Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.9/ 1.0/ 1.4), (0.6/ 1.1/ 1.5), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.4/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.5975
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.9877
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.2367
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.5), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.9217
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.4/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.5373
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.5), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.4/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.5389
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.5), (1.0/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.0181
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.5), (1.0/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.0031
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.5), (1.0/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.5566
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.5), (1.0/ 0.1/ 1.4), (1.2/ 0.1/ 1.5), (1.0/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.1544
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.5), (1.0/ 0.1/ 1.4), (1.2/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.8814
Disgusted,(0.9/ 1.1/ 1.4), (0.6/ 1.1/ 1.5), (1.0/ 0.1/ 1.4), (1.2/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.0551
Disgusted,(0.9/ 1.1/ 1.4), (0.7/ 1.1/ 1.5), (1.0/ 0.1/ 1.4), (1.2/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.7785
Disgusted,(0.9/ 1.1/ 1.4), (0.7/ 1.1/ 1.6), (1.0/ 0.1/ 1.4), (1.2/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.9392
Disgusted,(0.9/ 1.1/ 1.4), (0.7/ 1.1/ 1.6), (1.0/ 0.1/ 1.4), (1.2/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.3517
Disgusted,(1.0/ 1.1/ 1.4), (0.7/ 1.1/ 1.6), (1.0/ 0.1/ 1.4), (1.2/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.0705
Disgusted,(1.0/ 1.1/ 1.4), (0.7/ 1.1/ 1.6), (1.0/ 0.1/ 1.4), (1.2/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.5981
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Disgusted,(1.0/ 1.4/ 1.2), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.5587
Disgusted,(1.0/ 1.3/ 1.3), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.6), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,122.8357
Disgusted,(1.1/ 1.1/ 1.4), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.6), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.3903
Disgusted,(1.1/ 1.1/ 1.4), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.6), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.9037
Disgusted,(1.1/ 1.1/ 1.4), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.6), (1.1/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.4279
Disgusted,(1.1/ 1.1/ 1.4), (0.7/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.6), (1.1/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.1585
Disgusted,(1.1/ 1.1/ 1.4), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.6), (1.1/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.8113
Disgusted,(1.1/ 1.1/ 1.4), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.412
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.2805
Disgusted,(1.1/ 1.1/ 1.4), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.2523
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.7), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.9684
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.7), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.7335
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.6911
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.8435
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.9583
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.6), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,127.2953
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.7), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,127.8193
Disgusted,(1.0/ 1.1/ 1.5), (0.8/ 1.0/ 1.7), (1.1/ 0.1/ 1.4), (1.3/ 0.1/ 1.5), (1.1/ 1.4/ 1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.6554
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.7), (1.0/ 0.1/ 1.3), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,127.5821
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.7), (1.0/ 0.1/ 1.3), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.7536
Disgusted,(1.0/ 1.1/ 1.5), (0.8/ 1.1/ 1.7), (1.0/ 0.1/ 1.3), (1.3/ 0.1/ 1.5), (1.1/ 1.4/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.0497
Disgusted,(1.1/ 1.1/ 1.5), (0.8/ 1.1/ 1.7), (1.0/ 0.1/ 1.3), (1.3/ 0.1/ 1.5), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.5851
