Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-3.5/ 1.1/ -0.9), (-3.8/ 1.1/ -0.2), (-3.6/ 0.1/ -0.6), (-3.3/ 0.1/ -0.4), (-3.5/ 1.5/ -0.5), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,228.1512
Sad,(-3.4/ 1.2/ -0.7), (-3.8/ 1.1/ -0.1), (-3.5/ 0.1/ -0.4), (-3.3/ 0.1/ -0.4), (-3.5/ 1.5/ -0.4), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,224.2274
Sad,(-3.4/ 1.2/ -0.7), (-3.7/ 1.1/ -0.1), (-3.4/ 0.1/ -0.3), (-3.3/ 0.1/ -0.3), (-3.4/ 1.5/ -0.4), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,220.7207
Sad,(-3.3/ 1.1/ -0.7), (-3.6/ 1.1/ 0.0), (-3.4/ 0.1/ -0.3), (-3.3/ 0.1/ -0.3), (-3.3/ 1.5/ -0.3), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,217.0641
Sad,(-3.2/ 1.1/ -0.4), (-3.6/ 1.1/ 0.2), (-3.4/ 0.1/ -0.3), (-3.1/ 0.1/ 0.0), (-3.2/ 1.5/ 0.0), (-0.9/ 0.4/ 0.0), 0.3333333, 0.3333333,212.7123

CAMINO 2
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 41,01 segundos

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

CAMINO 2

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
