Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
