Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.4/ 1.0/ -1.5), (-1.4/ 1.0/ -1.1), (-1.3/ 0.1/ -1.3), (-1.2/ 0.1/ -1.1), (-1.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.42341
Sad,(-1.4/ 1.0/ -1.4), (-1.5/ 1.0/ -1.0), (-1.3/ 0.1/ -1.3), (-1.1/ 0.1/ -1.1), (-1.3/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.03851
Sad,(-1.4/ 1.0/ -1.3), (-1.5/ 1.0/ -0.9), (-1.3/ 0.1/ -1.3), (-1.1/ 0.1/ -1.1), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.40134
Sad,(-1.4/ 1.0/ -1.2), (-1.5/ 1.0/ -0.8), (-1.3/ 0.1/ -1.3), (-1.1/ 0.1/ -1.1), (-1.3/ 1.4/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.63051
Sad,(-1.4/ 1.0/ -1.3), (-1.5/ 1.1/ -0.9), (-1.2/ 0.1/ -1.3), (-1.1/ 0.1/ -1.1), (-1.3/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.88302
Sad,(-1.3/ 1.0/ -1.5), (-1.5/ 1.1/ -1.0), (-1.2/ 0.1/ -1.3), (-1.1/ 0.1/ -1.1), (-1.3/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.42529
Sad,(-1.3/ 1.0/ -1.5), (-1.5/ 1.1/ -1.1), (-1.2/ 0.1/ -1.3), (-1.2/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.31223
Sad,(-1.3/ 1.0/ -1.5), (-1.5/ 1.1/ -1.1), (-1.2/ 0.1/ -1.3), (-1.2/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.31107
Sad,(-1.3/ 1.0/ -1.6), (-1.5/ 1.1/ -1.1), (-1.2/ 0.1/ -1.3), (-1.2/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.23716
Sad,(-1.3/ 1.0/ -1.6), (-1.5/ 1.1/ -1.1), (-1.2/ 0.1/ -1.3), (-1.2/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.13109
Sad,(-1.3/ 1.0/ -1.6), (-1.6/ 1.1/ -1.2), (-1.2/ 0.1/ -1.3), (-1.2/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.29498
